event_id,prob_12h,prob_24h,prob_48h,prob_72h
10662602,9.69511772747727e-06,5.700006778562288e-07,6.005513466423697e-07,6.803457259029837e-06
13353600,0.773065088762155,0.9999968273882727,0.9999992872906958,0.9999853407743681
13942327,2.3606869180930339e-07,2.0926878402361563e-07,2.3639054172213288e-07,6.8217068322085874e-06
16112781,0.9730135410790743,0.9999787836755772,0.9999981810129623,0.9999850909955326
17132808,1.2967166288655586e-05,1.6252424235065418e-06,4.305103468635e-06,6.81088740482833e-06
17445696,1.7012471176459747e-06,1.7741066025501065e-06,6.171387350891993e-07,6.852737464962838e-06
17599982,7.523579828018551e-07,3.0146099728774256e-07,3.2450601230846507e-07,6.801920154153948e-06
18750374,0.14582216018654337,0.9246587987857839,0.9986092941965534,0.9999846987441428
21365245,6.828145400976934e-08,1.0346663470724446e-07,6.104527926151252e-07,6.768174534595949e-06
23634840,0.4782471211439765,0.9998612759730153,0.9999958233575641,0.9999854062613731
24461897,1.9699463801947812e-06,1.5544640158028826e-05,1.6659601950508e-05,7.90494160894848e-06
25353357,3.039109450557176e-07,5.814883844945186e-08,2.525031198283483e-07,6.767554503492993e-06
27052376,0.998378524107001,0.9999680722425336,0.9999985336042618,0.9999848220628282
29312582,2.70192182341718e-07,5.223529544408712e-07,4.409285487187837e-07,6.8559158285664195e-06
30451420,0.0003684400917566632,3.366049200027429e-06,1.7121615153139887e-05,7.620175061701265e-06
31488932,2.8655787233399595e-07,9.03647780430536e-08,4.2314428471990955e-07,6.834311811682264e-06
33717208,6.306473636816748e-05,5.2956450120554535e-06,2.895358583822699e-06,6.826223816981084e-06
34826241,7.689363869141718e-07,1.1482304315706552e-07,3.499694191903955e-07,6.8071379771626155e-06
35311039,0.9973614755673362,0.9999855379789031,0.9999975133484809,0.999984900801897
36423390,3.7803197981901437e-06,5.255465631003619e-07,2.2167830132445174e-06,7.1998726073824e-06
37196135,0.07444050381005955,0.9993887323945646,0.9999842979851223,0.9999850189153512
37355453,1.5240489907695344e-07,3.698468256910486e-08,3.8441603441193776e-07,6.785846929319468e-06
37536067,0.2651070344209595,0.999910442665755,0.9999321036765974,0.9999849231040514
39717591,7.200707902092905e-08,1.7601486278134847e-06,5.299724575561489e-07,6.850100997266462e-06
40833127,1.1436622843116673e-07,1.3125675079254766e-06,9.059957657086539e-07,6.7927435944969955e-06
41907240,0.6865556293697707,0.9992441712117113,0.9999928058644654,0.9999851227512112
42963675,1.0117335719975514e-07,1.0809516971662155e-06,1.2268192912388405e-06,6.7586420671111555e-06
42997746,0.0016073520396727324,4.163723404233286e-05,8.885754440997451e-06,7.542409143594397e-06
43341281,1.5672103143394778e-06,2.305603893398553e-07,1.0028809588964962e-06,6.799481394894539e-06
43371713,0.10925319536929112,0.7699551171794865,0.998685250261547,0.9999852872981737
44872967,0.14319131437055044,0.9821893855023331,0.8769207364106579,0.9999850700131869
46574754,0.07137912556849689,0.927242137595626,0.9944326401708672,0.9999656327927368
46767506,0.3599368836421553,0.9980342394455748,0.9999889447863968,0.9999850121288503
49169401,2.6502097451701483e-06,1.3983837494462204e-07,8.773331453014649e-07,6.7617976690842655e-06
49502022,7.902116941982916e-07,2.5167513787674835e-05,2.9252243209635136e-06,7.182588588574392e-06
49565135,0.9999073233151229,0.9999993950148538,0.9999991005417616,0.9999851571408197
50233410,0.9739335188559857,0.9922690977501057,0.999994222100592,0.9999848236951696
50541231,0.0008493507606118898,0.00011366624733929574,2.1626712605695365e-05,7.943380843604583e-06
51664538,7.371106249035595e-08,9.931338675081209e-08,2.5095092084329675e-07,6.762603817442302e-06
52004768,1.8465618057237158e-08,5.669817135167497e-07,8.079406535169384e-07,6.759341429320642e-06
52039660,1.3475849466314597e-09,4.523419408113099e-07,4.62762908713454e-07,6.771716100130787e-06
52614032,1.26519709235992e-06,6.728754287681083e-08,3.1923667763893395e-07,6.787508314624995e-06
53407288,9.51367482137821e-09,4.035941045743189e-08,3.0743392840363947e-07,6.779061775613462e-06
53799231,1.288656316274062e-09,8.317533164768156e-08,2.6485269631992173e-07,6.758185877695331e-06
54348573,4.7353639772976376e-08,4.316794234272727e-08,3.510945122085633e-07,6.770022889232776e-06
54459140,0.0014011159962528403,4.2265337475593024e-06,1.3844285953620735e-05,7.6082334948975915e-06
54759639,0.00010457111517260061,2.39178363712974e-06,1.1746174633225055e-05,7.242013877280155e-06
54801108,0.999222528603197,0.9999968897316811,0.9999985794309143,0.9999850236245771
55504460,0.26214111925998995,0.9771307935078329,0.979753085495159,0.9999666593350883
58802003,2.960153144213388e-06,2.9661687771699455e-06,6.830054376178758e-06,6.829580638735657e-06
58854430,0.0007305820142911117,1.2442953288461669e-05,5.579206481198996e-06,7.217007019328855e-06
59191113,6.66181769220007e-10,2.2684055239617823e-08,1.7133170869596424e-07,6.7603980454819364e-06
